REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKWS00X00,DKPM25,1,2056,0.02157811300769436
REGION1,DKWS00X00,DKPM25,1,2057,0.021254434560762987
REGION1,DKWS00X00,DKPM25,1,2058,0.02093559694965165
REGION1,DKWS00X00,DKPM25,1,2059,0.020621523535048897
REGION1,DKWS00X00,DKPM25,1,2060,0.020312204477433978
REGION1,FIBMCSPN2,CO2,1,2030,-420.8914243075147
REGION1,FIBMCSPN2,CO2,1,2031,-3347.115848301212
REGION1,FIBMCSPN2,CO2,1,2032,-5911.222107829613
REGION1,FIBMCSPN2,CO2,1,2033,-6154.663993814327
REGION1,FIBMCSPN2,CO2,1,2034,-6452.667131265567
REGION1,FIBMCSPN2,CO2,1,2035,-6814.23989471491
REGION1,FIBMCSPN2,CO2,1,2036,-7250.922462742997
REGION1,FIBMCSPN2,CO2,1,2037,-7777.576401272342
REGION1,FIBMCSPN2,CO2,1,2038,-8424.29966033388
REGION1,FIBMCSPN2,CO2,1,2039,-9452.610212644868
REGION1,FIBMCSPN2,CO2,1,2040,-10864.965173016788
REGION1,FIBMCSPN2,CO2,1,2041,-12488.201888266056
REGION1,FIBMCSPN2,CO2,1,2042,-14312.425395509694
REGION1,FIBMCSPN2,CO2,1,2043,-16356.530555480205
REGION1,FIBMCSPN2,CO2,1,2044,-18640.48442401056
REGION1,FIBMCSPN2,CO2,1,2045,-21185.356505687556
REGION1,FIBMCSPN2,CO2,1,2046,-24013.335831720764
REGION1,FIBMCSPN2,CO2,1,2047,-27036.388631785005
REGION1,FIBMCSPN2,CO2,1,2048,-30594.8598660442
REGION1,FIBMCSPN2,CO2,1,2049,-28013.884865182863
REGION1,FIBMCSPN2,CO2,1,2050,-29488.34331437309
REGION1,FIBMCSPN2,CO2,1,2051,-28997.839867224724
REGION1,FIBMCSPN2,CO2,1,2052,-31805.590670393274
REGION1,FIBMCSPN2,CO2,1,2053,-29872.935492802615
REGION1,FIBMCSPN2,CO2,1,2054,-30277.317179142192
REGION1,FIBMCSPN2,CO2,1,2055,-30665.774743802187
REGION1,FIBMCSPN2,CO2,1,2056,-31041.747329667585
REGION1,FIBMCSPN2,CO2,1,2057,-31408.342854457813
REGION1,FIBMCSPN2,CO2,1,2058,-31767.955023509556
REGION1,FIBMCSPN2,CO2,1,2059,-32122.43125123156
REGION1,FIBMCSPN2,CO2,1,2060,-32473.340063945045
REGION1,FIBMSTPH3,FIPM25,1,2015,0.011156804079960728
REGION1,FIBMSTPH3,FIPM25,1,2016,0.011156805231501336
REGION1,FIBMSTPH3,FIPM25,1,2017,0.011156803466902199
REGION1,FIBMSTPH3,FIPM25,1,2018,0.011156803466902199
REGION1,FIBMSTPH3,FIPM25,1,2019,0.011156803182483405
REGION1,FICO00I00,CO2,1,2015,4958.901530856601
REGION1,FICO00I00,CO2,1,2016,4806.572306876288
REGION1,FICO00I00,CO2,1,2017,5076.984593172427
